  Lines            Copies        Function name
      4246 (0.0%)     29 (0.0%)  smallvec::SmallVec<A>::try_grow
      4240 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::region_infer::RegionInferenceContext::apply_member_constraint
      4233 (0.0%)      1 (0.0%)  rustc_mir::transform::generator::create_generator_resume_function
      4220 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::diagnostics::explain_borrow::<impl rustc_mir::borrow_check::MirBorrowckCtxt>::explain_why_borrow_contains_point
      4216 (0.0%)      5 (0.0%)  <rustc_mir::dataflow::framework::fmt::DebugDiffWithAdapter<T,C> as core::fmt::Debug>::fmt
      4189 (0.0%)      1 (0.0%)  regex::re_set::bytes::RegexSet::is_match_at
      4176 (0.0%)      1 (0.0%)  rustc_typeck::check::op::<impl rustc_typeck::check::FnCtxt>::check_overloaded_binop
      4175 (0.0%)      2 (0.0%)  <rustc_target::abi::call::FnAbi<&rustc_middle::ty::TyS> as rustc_middle::ty::layout::FnAbiExt<C>>::of_instance
      4171 (0.0%)      2 (0.0%)  <rustc_ast::ptr::P<T> as rustc_serialize::serialize::Encodable<S>>::encode
      4170 (0.0%)      2 (0.0%)  rustc_middle::mir::tcx::<impl rustc_middle::mir::Rvalue>::ty
      4169 (0.0%)      1 (0.0%)  cc::Build::get_base_compiler
      4167 (0.0%)      1 (0.0%)  rustc_errors::emitter::EmitterWriter::emit_message_default
      4163 (0.0%)      7 (0.0%)  rustc_errors::emitter::Emitter::render_multispan_macro_backtrace
      4163 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::diagnostics::outlives_suggestion::OutlivesSuggestionBuilder::add_suggestion
      4163 (0.0%)      1 (0.0%)  rustc_trait_selection::traits::codegen::codegen_fulfill_obligation
