  Lines            Copies        Function name
     10939 (0.1%)     28 (0.0%)  rustc_middle::ty::subst::<impl rustc_middle::ty::fold::TypeFoldable for &rustc_middle::ty::list::List<rustc_middle::ty::subst::GenericArg>>::super_fold_with
     10796 (0.1%)      1 (0.0%)  rustc_typeck::check::expr::<impl rustc_typeck::check::FnCtxt>::check_expr_kind
     10745 (0.1%)      1 (0.0%)  rustc_mir::interpret::intrinsics::<impl rustc_mir::interpret::eval_context::InterpCx<M>>::emulate_intrinsic
     10743 (0.1%)     60 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>,alloc::collections::btree::node::marker::Edge>::insert_fit
     10612 (0.1%)     85 (0.1%)  rustc_middle::ty::fold::<impl rustc_middle::ty::context::TyCtxt>::replace_escaping_bound_vars::{{closure}}
     10453 (0.1%)      1 (0.0%)  rustc_incremental::persist::fs::garbage_collect_session_directories
     10426 (0.1%)      1 (0.0%)  rustc_infer::infer::error_reporting::<impl rustc_infer::infer::InferCtxt>::cmp
     10386 (0.1%)      1 (0.0%)  rustc_trait_selection::traits::select::candidate_assembly::<impl rustc_trait_selection::traits::select::SelectionContext>::assemble_candidates
     10356 (0.1%)     78 (0.1%)  rustc_data_structures::profiling::SelfProfilerRef::exec::cold_call
     10355 (0.1%)      1 (0.0%)  <dyn rustc_typeck::astconv::AstConv>::conv_object_ty_poly_trait_ref
     10293 (0.1%)      1 (0.0%)  rustc_mir::borrow_check::diagnostics::conflict_errors::<impl rustc_mir::borrow_check::MirBorrowckCtxt>::report_use_of_moved_or_uninitialized
     10236 (0.1%)      4 (0.0%)  rustc_passes::stability::Annotator::annotate
     10150 (0.1%)      1 (0.0%)  rustc_builtin_macros::format::expand_preparsed_format_args
     10134 (0.1%)      5 (0.0%)  rustc_middle::ty::relate::super_relate_consts
     10072 (0.1%)     10 (0.0%)  rustc_middle::query::<impl rustc_query_system::query::config::QueryDescription<rustc_middle::ty::context::TyCtxt> for rustc_middle::ty::query::queries::codegen_fn_attrs>::try_load_from_disk
     10054 (0.1%)      2 (0.0%)  <rustc_infer::infer::InferCtxt as rustc_trait_selection::opaque_types::InferCtxtExt>::constrain_opaque_type
     10019 (0.1%)      2 (0.0%)  <rustc_infer::infer::nll_relate::TypeRelating<D> as rustc_middle::ty::relate::TypeRelation>::tys
      9963 (0.1%)      1 (0.0%)  rustc_mir::borrow_check::universal_regions::UniversalRegionsBuilder::build
      9813 (0.1%)      1 (0.0%)  <rustc_mir::transform::rustc_peek::SanityCheck as rustc_mir::transform::MirPass>::run_pass
      9789 (0.1%)     49 (0.1%)  rustc_hir::intravisit::walk_generic_args
      9680 (0.1%)      1 (0.0%)  rustc_metadata::rmeta::encoder::EncodeContext::encode_addl_info_for_item
      9656 (0.1%)      3 (0.0%)  rustc_infer::infer::canonical::query_response::<impl rustc_infer::infer::InferCtxt>::make_canonicalized_query_response
      9640 (0.1%)     17 (0.0%)  rustc_middle::ty::query::stats::stats
      9625 (0.1%)      1 (0.0%)  <rustc_target::spec::Target as rustc_serialize::json::ToJson>::to_json
      9623 (0.1%)      2 (0.0%)  rustc_span::hygiene::HygieneEncodeContext::encode
      9557 (0.1%)     17 (0.0%)  <alloc::vec::Vec<T> as alloc::vec::SpecFromIterNested<T,I>>::from_iter
      9521 (0.1%)      1 (0.0%)  rustc_metadata::rmeta::encoder::EncodeContext::encode_info_for_item
      9504 (0.1%)      7 (0.0%)  rustc_middle::ty::print::pretty::PrettyPrinter::pretty_print_const_scalar
      9501 (0.1%)      1 (0.0%)  polonius_engine::output::naive::compute
      9490 (0.1%)      1 (0.0%)  rustc_mir::transform::generator::locals_live_across_suspend_points
      9467 (0.1%)      1 (0.0%)  <rustc_save_analysis::dump_visitor::DumpVisitor as rustc_hir::intravisit::Visitor>::visit_item
      9456 (0.1%)      3 (0.0%)  rustc_typeck::check::method::probe::<impl rustc_typeck::check::FnCtxt>::probe_op
      9451 (0.1%)      2 (0.0%)  rustc_mir::interpret::operator::<impl rustc_mir::interpret::eval_context::InterpCx<M>>::overflowing_binary_op
      9438 (0.1%)     20 (0.0%)  rustc_ast::visit::walk_pat
      9388 (0.1%)      8 (0.0%)  rustc_ast::mut_visit::noop_visit_expr
      9384 (0.1%)      2 (0.0%)  rustc_middle::mir::_DERIVE_rustc_serialize_Encodable_E_FOR_StatementKind::<impl rustc_serialize::serialize::Encodable<__E> for rustc_middle::mir::StatementKind>::encode::{{closure}}
      9220 (0.1%)      2 (0.0%)  rustc_target::asm::_DERIVE_rustc_serialize_Encodable_E_FOR_InlineAsmRegOrRegClass::<impl rustc_serialize::serialize::Encodable<__E> for rustc_target::asm::InlineAsmRegOrRegClass>::encode::{{closure}}
      9181 (0.1%)     21 (0.0%)  rustc_query_system::dep_graph::graph::DepGraphData<K>::read_index
      9100 (0.1%)      2 (0.0%)  rustc_middle::mir::_DERIVE_rustc_serialize_Encodable_E_FOR_Body::<impl rustc_serialize::serialize::Encodable<__E> for rustc_middle::mir::Body>::encode::{{closure}}
      9037 (0.1%)      1 (0.0%)  rustc_middle::dep_graph::dep_node::_DERIVE_rustc_serialize_Encodable_E_FOR_DepKind::<impl rustc_serialize::serialize::Encodable<__E> for rustc_middle::dep_graph::dep_node::DepKind>::encode::{{closure}}
      8985 (0.1%)      2 (0.0%)  rustc_expand::expand::AstFragmentKind::expect_from_annotatables
      8958 (0.1%)      4 (0.0%)  rustc_lint::late::LateContextAndPass<T>::with_lint_attrs
      8879 (0.1%)      6 (0.0%)  rustc_middle::ty::print::pretty::PrettyPrinter::pretty_print_dyn_existential
      8858 (0.1%)      1 (0.0%)  rustc_lexer::<impl rustc_lexer::cursor::Cursor>::advance_token
      8794 (0.1%)      1 (0.0%)  rustc_resolve::late::diagnostics::<impl rustc_resolve::late::LateResolutionVisitor>::smart_resolve_report_errors
      8773 (0.1%)      1 (0.0%)  rustc_typeck::check::method::confirm::ConfirmContext::confirm
      8740 (0.1%)      3 (0.0%)  rustc_infer::infer::combine::<impl rustc_infer::infer::InferCtxt>::super_combine_consts
      8663 (0.1%)      2 (0.0%)  rustc_infer::infer::InferCtxtBuilder::enter_with_canonical::{{closure}}
      8636 (0.1%)      1 (0.0%)  rustc_parse::parser::item::<impl rustc_parse::parser::Parser>::parse_item_kind
      8603 (0.1%)      1 (0.0%)  rustc_codegen_llvm::back::lto::thin_lto
      8586 (0.1%)      1 (0.0%)  <rustc_resolve::late::lifetimes::LifetimeContext as rustc_hir::intravisit::Visitor>::visit_ty
      8554 (0.1%)     12 (0.0%)  alloc::slice::<impl [T]>::sort
      8538 (0.1%)      1 (0.0%)  rustc_codegen_llvm::base::compile_codegen_unit::module_codegen
      8512 (0.1%)      7 (0.0%)  rustc_trait_selection::traits::project::normalize_with_depth_to
      8493 (0.1%)      1 (0.0%)  <chalk_solve::rust_ir::AssociatedTyDatum<I> as chalk_solve::clauses::program_clauses::ToProgramClauses<I>>::to_program_clauses::{{closure}}
      8470 (0.1%)      1 (0.0%)  rustc_typeck::check::wfcheck::check_item_well_formed
      8425 (0.0%)      1 (0.0%)  rustc_codegen_llvm::intrinsic::<impl rustc_codegen_ssa::traits::intrinsic::IntrinsicCallMethods for rustc_codegen_llvm::builder::Builder>::codegen_intrinsic_call
      8354 (0.0%)     10 (0.0%)  std::sys_common::backtrace::__rust_begin_short_backtrace
      8345 (0.0%)     73 (0.1%)  std::collections::hash::map::VacantEntry<K,V>::insert
      8343 (0.0%)      9 (0.0%)  alloc::collections::btree::map::BTreeMap<K,V>::insert
      8337 (0.0%)      1 (0.0%)  rustc_mir_build::thir::cx::expr::make_mirror_unadjusted
      8323 (0.0%)    115 (0.2%)  core::iter::traits::iterator::Iterator::nth
      8247 (0.0%)      1 (0.0%)  rustc_typeck::check::check_item_type
      8242 (0.0%)      6 (0.0%)  rustc_ast::mut_visit::noop_flat_map_stmt
      8217 (0.0%)     45 (0.1%)  rustc_hir::intravisit::walk_local
      8206 (0.0%)      8 (0.0%)  <rustc_infer::infer::nll_relate::TypeRelating<D> as rustc_middle::ty::relate::TypeRelation>::relate_with_variance
      8205 (0.0%)      1 (0.0%)  rustc_hir::lang_items::_DERIVE_rustc_serialize_Encodable_E_FOR_LangItem::<impl rustc_serialize::serialize::Encodable<__E> for rustc_hir::lang_items::LangItem>::encode::{{closure}}
